date,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_mean,temperature_max,temperature_min,humidity_mean,precipitation_sum,pressure_mean,wind_speed_mean,wind_speed_max,AQI
2022-08-01,,,,,,,28.1,29.2,27.3,85,0.2,1001.4,28.7,33.2,
2022-08-02,,,,,,,28.2,29.8,27.1,85,0.6,1001.5,23.1,27.3,
2022-08-03,,,,,,,28.0,29.4,26.9,86,0.3,1001.6,17.8,21.8,
2022-08-04,28.036842105263162,60.37894736842105,495.2105263157895,22.457894736842103,24.431578947368422,62.36842105263158,28.3,29.8,26.9,88,0.4,1001.8,14.2,20.4,
2022-08-05,28.212500000000002,58.3375,507.4166666666667,22.741666666666664,24.895833333333332,53.5,28.6,31.0,27.2,86,0.3,1000.2,16.0,20.7,86.0
2022-08-06,27.46666666666667,51.71666666666667,431.9583333333333,22.150000000000002,19.220833333333335,44.166666666666664,28.2,29.3,27.1,86,0.8,998.6,17.0,24.2,87.0
2022-08-07,57.62916666666666,89.125,944.125,39.3125,42.92916666666667,148.08333333333334,28.5,30.2,26.6,89,24.9,997.8,12.6,20.3,258.0
2022-08-08,64.52083333333333,103.12916666666666,1150.5,46.8125,55.09166666666667,122.875,28.9,31.0,27.4,87,0.0,997.5,13.4,19.4,238.0
2022-08-09,54.037499999999994,77.5625,849.0,50.89166666666666,45.24583333333334,84.29166666666667,29.6,33.1,27.4,86,3.3,996.6,10.2,15.7,158.0
2022-08-10,108.38749999999999,156.36666666666667,1297.5833333333333,65.40833333333333,51.68333333333334,104.79166666666667,29.2,32.5,26.9,89,26.0,995.0,10.0,15.8,200.0
2022-08-11,83.28750000000001,122.84583333333332,1163.0416666666667,49.09166666666667,52.025000000000006,146.29166666666666,29.4,35.1,27.5,86,28.8,993.9,16.3,29.3,253.0
2022-08-12,31.21666666666667,49.291666666666664,605.75,34.52916666666667,33.012499999999996,82.20833333333333,28.1,30.3,25.8,86,82.7,994.5,24.4,40.5,170.0
2022-08-13,32.137499999999996,48.94166666666667,704.0,35.59166666666667,49.375,94.0,27.2,28.8,26.1,87,21.2,997.3,17.1,20.6,149.0
2022-08-14,24.97083333333333,39.90833333333333,475.9166666666667,20.358333333333334,27.866666666666664,99.5,27.5,30.8,25.3,84,43.0,997.3,17.6,25.9,159.0
2022-08-15,25.370833333333334,38.449999999999996,678.125,47.4,53.9375,58.875,27.7,29.8,26.0,87,32.0,999.2,12.5,21.6,84.0
2022-08-16,28.066666666666666,43.645833333333336,644.25,39.550000000000004,38.49166666666667,70.70833333333333,27.6,29.4,26.3,87,11.1,1000.6,8.4,14.1,86.0
2022-08-17,19.054166666666667,28.791666666666668,435.0416666666667,21.537499999999998,18.808333333333334,81.375,27.9,29.3,27.2,88,19.1,999.3,20.0,27.1,86.0
2022-08-18,22.233333333333334,42.03333333333333,271.5,13.679166666666667,11.487499999999999,47.875,27.8,28.7,27.2,87,9.6,999.0,29.0,35.6,74.0
2022-08-19,22.099999999999998,46.512499999999996,234.125,12.424999999999999,11.1625,35.208333333333336,27.5,28.1,27.1,87,0.8,1000.3,28.4,34.5,77.0
2022-08-20,22.729166666666668,49.39166666666667,275.9583333333333,13.204166666666666,13.708333333333334,44.125,27.6,29.0,26.8,87,1.8,1001.5,22.9,26.5,76.0
2022-08-21,24.104166666666668,53.56666666666666,314.0,14.891666666666666,16.2375,48.541666666666664,27.7,29.2,26.9,87,2.4,1001.3,22.4,28.6,79.0
2022-08-22,24.116666666666664,55.3375,307.125,14.0,14.366666666666667,53.291666666666664,27.8,29.7,26.6,85,0.5,1000.8,18.7,22.5,78.0
2022-08-23,23.854166666666668,52.99583333333334,358.0833333333333,16.670833333333334,16.558333333333334,47.666666666666664,27.2,28.5,26.3,86,3.2,1000.6,18.4,23.5,79.0
2022-08-24,25.383333333333336,56.199999999999996,296.0,15.308333333333332,12.841666666666667,42.916666666666664,27.2,28.0,26.6,84,12.8,1001.4,23.6,30.3,81.0
2022-08-25,26.9875,58.25416666666666,254.5,12.0,11.058333333333332,51.166666666666664,28.0,29.4,26.8,81,0.0,1002.0,25.7,31.3,84.0
2022-08-26,27.383333333333336,60.49583333333334,278.5833333333333,13.625,13.241666666666667,54.333333333333336,27.4,29.1,26.2,81,0.1,1004.2,20.2,24.5,85.0
2022-08-27,23.95,50.5,283.0416666666667,13.129166666666668,12.866666666666667,52.833333333333336,27.1,28.5,26.0,81,0.4,1005.3,20.7,25.8,85.0
2022-08-28,20.541666666666668,41.18333333333333,251.75,10.979166666666666,10.654166666666667,56.375,27.3,28.7,26.4,79,0.7,1004.6,22.7,28.9,78.0
2022-08-29,21.97083333333333,43.75833333333333,308.9583333333333,14.691666666666668,13.345833333333333,54.5,27.3,29.1,26.2,79,0.1,1006.6,17.4,22.0,74.0
2022-08-30,23.479166666666668,47.275,391.5,19.358333333333334,17.545833333333334,54.916666666666664,27.4,29.5,25.6,82,0.0,1008.3,11.3,19.9,79.0
2022-08-31,20.55,40.59583333333333,359.2916666666667,17.0,16.691666666666666,58.625,27.3,29.1,25.6,85,0.0,1007.3,12.9,18.8,77.0
2022-09-01,16.2375,30.870833333333334,290.625,13.066666666666668,12.700000000000001,52.416666666666664,27.6,29.0,26.5,84,0.5,1006.2,20.3,26.4,72.0
2022-09-02,19.216666666666665,37.5875,362.25,16.379166666666666,16.349999999999998,60.375,27.7,29.4,26.3,83,0.2,1007.3,16.6,19.7,69.0
2022-09-03,19.079166666666666,35.12916666666667,298.2083333333333,11.754166666666665,12.366666666666667,51.875,27.7,29.3,26.4,82,0.5,1006.6,22.0,27.2,69.0
2022-09-04,28.59583333333333,51.92916666666667,274.0416666666667,10.054166666666667,9.954166666666667,49.916666666666664,27.6,29.4,26.5,80,0.2,1004.3,32.4,38.2,91.0
2022-09-05,21.433333333333334,41.65833333333333,258.2916666666667,10.916666666666666,11.366666666666667,56.041666666666664,27.6,29.2,26.5,78,0.5,1004.3,25.7,32.7,88.0
2022-09-06,23.641666666666666,44.050000000000004,354.7083333333333,16.4375,17.516666666666666,64.20833333333333,27.4,29.4,26.0,79,0.0,1005.8,15.9,20.2,78.0
2022-09-07,23.833333333333332,43.0875,480.625,23.633333333333336,23.400000000000002,61.208333333333336,27.0,29.1,25.0,85,0.0,1007.6,12.7,22.5,78.0
2022-09-08,36.36666666666667,60.65416666666667,766.875,34.75416666666667,33.141666666666666,94.79166666666667,27.7,30.7,25.5,84,0.0,1008.0,12.7,21.5,203.0
2022-09-09,52.87916666666666,83.34166666666667,798.375,31.333333333333332,29.97083333333333,122.16666666666667,29.7,35.3,25.9,77,0.0,1005.8,14.4,22.8,229.0
2022-09-10,84.8625,126.83333333333333,1069.4583333333333,39.00416666666667,36.5875,165.29166666666666,30.9,35.6,27.3,72,0.0,1004.1,12.9,19.7,285.0
2022-09-11,41.458333333333336,64.47500000000001,754.0,28.22083333333333,30.84583333333333,114.0,29.6,33.2,27.4,78,0.0,1002.4,16.0,23.5,228.0
2022-09-12,64.35833333333333,98.10000000000001,973.875,38.2125,36.958333333333336,143.625,29.0,32.9,26.9,83,0.1,1001.4,13.1,17.4,261.0
2022-09-13,43.875,69.3625,893.25,40.5,38.2875,101.125,29.9,34.4,27.6,78,0.0,1002.3,15.3,20.7,220.0
2022-09-14,23.61666666666667,41.07083333333333,527.9583333333334,23.041666666666668,22.245833333333334,59.333333333333336,29.9,34.9,27.1,77,0.0,1003.4,18.0,28.8,121.0
2022-09-15,19.683333333333334,36.30833333333333,293.3333333333333,11.533333333333333,11.7875,57.791666666666664,28.6,31.1,26.8,82,0.0,1004.0,25.0,31.2,78.0
2022-09-16,24.53333333333333,47.07083333333333,240.91666666666666,8.9125,8.616666666666667,65.45833333333333,28.3,30.3,27.0,78,0.3,1002.0,28.4,33.3,79.0
2022-09-17,28.0125,57.275,269.4166666666667,11.916666666666666,10.691666666666668,69.16666666666667,28.2,30.2,27.0,76,0.3,1002.3,22.0,26.1,86.0
