date,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_mean,temperature_max,temperature_min,humidity_mean,precipitation_sum,pressure_mean,wind_speed_mean,wind_speed_max,AQI
2025-01-01,37.52916666666667,40.68333333333333,972.75,20.754166666666666,17.966666666666665,90.91666666666667,20.4375,26.2,15.3,35.083333333333336,0.0,1016.725,8.125,10.5,106
2025-01-02,51.3375,55.4,1431.6666666666667,32.391666666666666,23.758333333333336,89.875,19.858333333333334,25.6,14.9,45.583333333333336,0.0,1015.975,7.129166666666666,9.6,140
2025-01-03,66.60833333333333,72.95833333333333,1241.0416666666667,35.795833333333334,30.425,98.16666666666667,19.920833333333334,24.6,14.9,55.083333333333336,0.0,1015.6625,6.254166666666666,11.5,157
2025-01-04,51.67916666666667,69.32916666666667,776.3333333333334,36.06666666666667,24.8125,65.79166666666667,20.604166666666668,24.2,17.2,54.833333333333336,0.0,1014.4375,9.5875,14.1,141
2025-01-05,40.22083333333333,55.06666666666666,908.6666666666666,39.32083333333333,26.183333333333334,67.33333333333333,18.091666666666665,22.5,13.2,46.833333333333336,0.0,1015.2041666666668,6.6125,10.7,113
2025-01-06,31.079166666666666,35.25833333333333,1103.7083333333333,41.30833333333333,21.633333333333336,53.666666666666664,18.495833333333334,24.5,13.2,37.833333333333336,0.0,1017.6416666666668,6.604166666666667,9.4,91
2025-01-07,21.925,22.954166666666666,958.9166666666666,31.349999999999998,15.595833333333333,73.95833333333333,18.849999999999998,24.9,13.5,24.416666666666668,0.0,1018.7208333333333,7.670833333333333,11.8,72
2025-01-08,27.829166666666666,28.087500000000002,1175.4166666666667,37.4375,30.141666666666666,75.5,17.775000000000002,23.5,11.5,36.791666666666664,0.0,1015.7624999999999,6.054166666666667,9.6,84
2025-01-09,33.829166666666666,34.52916666666667,1418.375,44.02916666666667,24.170833333333334,70.0,18.658333333333335,24.2,12.3,51.5,0.0,1013.9458333333333,6.0874999999999995,7.7,97
2025-01-10,45.6875,46.35833333333333,1071.2083333333333,53.05833333333334,24.416666666666668,63.625,19.941666666666666,25.4,15.4,38.583333333333336,0.0,1014.9458333333333,6.958333333333333,13.6,126
2025-01-11,45.12916666666666,45.47083333333333,1102.5,41.833333333333336,28.900000000000002,74.83333333333333,19.991666666666667,25.9,14.8,43.083333333333336,0.0,1015.9125,6.0249999999999995,10.6,125
2025-01-12,41.62083333333333,41.75416666666667,1100.9583333333333,35.40833333333333,22.983333333333334,87.375,19.962500000000002,25.8,14.7,34.625,0.0,1018.0124999999999,8.583333333333334,13.6,116
2025-01-13,53.12083333333334,53.9375,893.7083333333334,13.700000000000001,16.433333333333334,104.375,18.7625,23.5,14.7,41.375,0.0,1018.5791666666668,12.799999999999999,15.1,144
