feature,mean_abs_shap
log_PM2.5,4.1467274535889915
PM10,2.1234734828437407
O3,1.4952208831305105
SO2,1.1889723481881536
month_cos,0.43034649287175636
temperature_max_roll_mean_3,0.3967887366433646
NO2,0.3780906870919001
Humidity,0.3711871839289162
PM10_lag_3,0.35538212144712217
AQI,0.35031114801897056
PM10_O3_ratio,0.3384379514034114
temperature_max_lag_1,0.3364792137054485
O3_lag_1,0.30593104940897203
NO2_lag_3,0.2778859768196166
pressure_mean_roll_mean_3,0.26241292122154836
day_of_year_cos,0.2590528876243714
log_CO,0.2428847889108638
Temperature_lag_1,0.2411078768683632
Precipitation_lag_1,0.23224528424278298
temperature_min_lag_1,0.22111648858717498
PM10_lag_1,0.21577935575420099
AQI_diff_1,0.20761972574808213
weekday_sin,0.20756212018036058
AQI_roll_min_3,0.2070081268481672
NO2_O3_ratio,0.20511194831444085
wind_speed_max_lag_1,0.20430260783704418
log_CO_lag_3,0.19259406485274583
log_CO_roll_mean_3,0.19197984143338298
O3_lag_2,0.1893844036729647
Humidity_lag_2,0.182210148460357
wind_speed_mean_lag_2,0.17943826634216486
temperature_min,0.17886884739441253
AQI_roll_mean_3,0.1720474874065343
weekday_cos,0.16915562180888022
pressure_mean,0.1617867164321815
log_PM2.5_lag_2,0.16006236012356018
AQI_lag_3,0.149782953808758
AQI_lag_7,0.1441257615328074
wind_speed_max,0.13930990597596357
pressure_mean_lag_1,0.13925424687826013
Temperature_roll_mean_3,0.13581509356182786
AQI_lag_1,0.13006524116758167
SO2_lag_3,0.12756842875726
day_of_week,0.12721665526623524
AQI_roll_max_7,0.12634470202254844
season_Summer,0.12151020645441593
SO2_lag_1,0.11915831653455844
month,0.1178519581778111
log_CO_lag_2,0.11567770110384756
AQI_lag_5,0.11225063489923222
season_Winter,0.11152819376139109
Precipitation,0.11114814881464309
O3_lag_3,0.1086691983711907
PM10_roll_mean_3,0.10802053668934562
AQI_lag_2,0.1067062485048261
pressure_mean_lag_2,0.10666551954626492
AQI_lag_6,0.10415165218913197
wind_speed_max_roll_mean_3,0.10308821878870972
AQI_pct_change_1,0.10176977780032274
log_CO_lag_1,0.09868459919254793
AQI_roll_mean_7,0.0981368485268531
temperature_max,0.09674098258454587
Precipitation_lag_2,0.09597156010299329
log_PM2.5_lag_3,0.09405321963468692
month_sin,0.09264308138684244
AQI_diff_3,0.09219244339707847
AQI_roll_mean_14,0.09189398490486521
day_of_year,0.09147145317071956
AQI_roll_std_14,0.09058406009340553
day_of_year_sin,0.09006402663067774
AQI_roll_max_3,0.08851217360622689
NO2_roll_mean_3,0.08812279991314785
NO2_lag_2,0.08055636184823597
PM10_lag_2,0.07828445135801751
Temperature_lag_2,0.07617265737023897
temperature_max_lag_2,0.0745833101472552
SO2_roll_mean_3,0.07337226630810312
SO2_lag_2,0.07307983493389028
AQI_roll_std_7,0.07218269184736256
Temperature,0.07142273054885621
season_Spring,0.07089987441243953
AQI_roll_min_14,0.06867489142795677
Humidity_lag_1,0.06865521392244225
wind_speed_max_lag_2,0.06791896509662379
PM10_NO2_ratio,0.06653312401325895
O3_roll_mean_3,0.06526182097882692
wind_speed_mean_lag_1,0.06475853975260758
wind_speed_mean_roll_mean_3,0.06338361102664127
NO2_lag_1,0.06282235832113008
log_PM2.5_roll_mean_3,0.06015342081010708
Humidity_roll_mean_3,0.05822584213448115
pollution_mean,0.058105066393371034
AQI_pct_change_3,0.05724989639866322
pollution_max,0.05294153725119176
AQI_roll_max_14,0.05083461736504667
Precipitation_roll_mean_3,0.05079723886500941
AQI_lag_4,0.04989372463330328
wind_speed_mean,0.04988001211277218
temperature_min_roll_mean_3,0.043423133744391745
AQI_roll_min_7,0.04228041542440627
AQI_roll_std_3,0.04174661206288561
AQI_diff_2,0.04107353777318408
log_PM2.5_lag_1,0.03983585553135227
temperature_min_lag_2,0.02646365328126504
