feature,mean_abs_shap
day_of_year_cos,3.1229590091473014
AQI_roll_min_14,2.347046133530151
O3,2.2938955900409352
SO2,1.6425557585620276
log_PM2.5,1.6089486312183139
month_cos,1.483723234195912
log_CO_lag_2,1.1196230463284367
PM10,1.0716308536284682
pressure_mean_roll_mean_3,1.0190894935456951
wind_speed_mean_roll_mean_3,0.9769043405302151
AQI_roll_mean_7,0.8879935544838453
SO2_roll_mean_3,0.8552083448768775
temperature_min_roll_mean_3,0.6833970313927863
pressure_mean_lag_1,0.6295361050401205
SO2_lag_2,0.5913624415607772
temperature_min_lag_1,0.5881948805100541
SO2_lag_1,0.5847219138579538
log_PM2.5_lag_1,0.5829696661219509
AQI_roll_std_14,0.5807704206115514
PM10_roll_mean_3,0.5738835750692445
PM10_lag_1,0.5649359698070606
log_CO,0.5475631654842962
Temperature_roll_mean_3,0.5428044731369803
AQI_roll_max_3,0.52416752613422
PM10_lag_2,0.5227185208486433
NO2_O3_ratio,0.5101779671515365
AQI_roll_std_7,0.5070341189629928
AQI_roll_mean_14,0.4980159365649249
wind_speed_max_roll_mean_3,0.4896615267971438
day_of_year,0.4869802770119865
NO2_roll_mean_3,0.4738287201347335
SO2_lag_3,0.47127291557764883
day_of_year_sin,0.44587695736793925
pollution_mean,0.41412253407248256
log_CO_lag_3,0.4064265506625509
NO2_lag_1,0.39763647400933516
weekday_cos,0.39617884876421866
NO2_lag_3,0.3924517304956458
temperature_max_lag_2,0.3612415947696638
AQI_lag_3,0.3574325115591998
AQI,0.3551601708419197
AQI_roll_min_7,0.3515943487206723
PM10_NO2_ratio,0.3494489358140793
AQI_roll_max_7,0.34141503360462655
O3_lag_1,0.33390258254195354
wind_speed_max,0.33250693075345106
Temperature,0.3269808960179288
Temperature_lag_2,0.31889714853286155
NO2_lag_2,0.3165358374572421
Temperature_lag_1,0.3023451567412897
temperature_max_roll_mean_3,0.29876406528722316
Humidity_roll_mean_3,0.29816939579780766
AQI_pct_change_3,0.2954593465054766
temperature_min_lag_2,0.27561067096282876
wind_speed_mean,0.25931324852486326
pressure_mean_lag_2,0.2499907108433795
Humidity,0.23771442818972635
AQI_lag_4,0.23428535977466097
temperature_max_lag_1,0.2296500774712705
wind_speed_mean_lag_2,0.2259217664336889
NO2,0.22371323881971128
log_CO_roll_mean_3,0.21381848041087817
AQI_roll_max_14,0.20455652707596228
month_sin,0.20206165823055378
PM10_O3_ratio,0.20037144255110922
wind_speed_mean_lag_1,0.1966484665347793
AQI_roll_mean_3,0.19607302867709098
O3_roll_mean_3,0.19172266623720496
temperature_min,0.17857337834908685
day_of_week,0.17481211768241592
AQI_roll_std_3,0.16186477440201757
log_CO_lag_1,0.16085411729808297
pressure_mean,0.1586657749931044
O3_lag_2,0.15493537295027443
wind_speed_max_lag_1,0.15246503824413615
season_Spring,0.1524349669683654
Humidity_lag_1,0.15164572836357246
temperature_max,0.15162336144333136
Precipitation,0.15106704058861575
month,0.1388789028285813
log_PM2.5_lag_3,0.13254105703834287
log_PM2.5_lag_2,0.12364829415155394
AQI_pct_change_1,0.12276845836323867
PM10_lag_3,0.12148982369003396
AQI_roll_min_3,0.10623086545920545
AQI_diff_2,0.10424480773204621
AQI_lag_7,0.10272354034294826
Precipitation_roll_mean_3,0.10223581590761777
AQI_lag_2,0.10223312881682432
wind_speed_max_lag_2,0.1019157305892653
AQI_lag_5,0.10165979156697531
AQI_lag_1,0.101148203091841
O3_lag_3,0.1003027143982304
pollution_max,0.0935920345550591
Precipitation_lag_1,0.08562312436373584
weekday_sin,0.0747489967803742
Humidity_lag_2,0.07295237373352012
AQI_diff_3,0.05926280756469671
AQI_lag_6,0.057894491690763536
log_PM2.5_roll_mean_3,0.04693296164637602
season_Summer,0.04531391689809313
AQI_diff_1,0.025643016495763497
season_Winter,0.0
Precipitation_lag_2,0.0
