feature,mean_abs_shap
log_PM2.5,2.0260882829973093
O3,1.358160657422866
PM10,1.1481741559961973
NO2_lag_3,0.9909829819411946
SO2,0.7605158481446183
AQI,0.6593443313975127
day_of_year_cos,0.4277068652831298
SO2_lag_3,0.351648521170467
NO2_lag_2,0.35034719662729796
NO2,0.3391342399977182
NO2_roll_mean_3,0.33645940010030095
AQI_pct_change_1,0.32805328413499013
log_CO,0.3086595920592887
SO2_lag_2,0.29128965276811464
pressure_mean_roll_mean_3,0.2835164056855488
month_cos,0.24387923330694122
AQI_roll_min_3,0.2363458679252607
pressure_mean_lag_2,0.2285570425619274
O3_lag_1,0.22358170472681166
season_Spring,0.22354324605239337
AQI_diff_1,0.2223529460038978
Humidity,0.20754878444266275
day_of_year_sin,0.19899846037997676
Temperature_lag_1,0.19559454185277067
temperature_min_lag_1,0.19366929870872698
SO2_roll_mean_3,0.19217177914637185
AQI_roll_max_14,0.18795129898610693
temperature_min_lag_2,0.16816694812498587
log_PM2.5_lag_3,0.16227227466194566
O3_lag_2,0.158446265391371
temperature_min_roll_mean_3,0.15638005466067162
AQI_roll_min_7,0.15625221509747583
AQI_lag_5,0.15464935166900678
Temperature_roll_mean_3,0.14823936006471777
temperature_max_lag_2,0.14469941067796943
month,0.14360843252767166
AQI_roll_min_14,0.14254233501250518
Temperature,0.13823037581619008
SO2_lag_1,0.12984847661041438
PM10_lag_2,0.12715827033126184
pollution_mean,0.12508375515256767
temperature_max_roll_mean_3,0.1171793379851592
log_PM2.5_roll_mean_3,0.11616952478391797
temperature_max_lag_1,0.10916698703079064
weekday_cos,0.10599773777726154
month_sin,0.10357322723033055
AQI_diff_2,0.10336564523670225
log_CO_roll_mean_3,0.10111508387732103
AQI_roll_mean_7,0.10092092903510329
O3_roll_mean_3,0.10044924294827232
AQI_diff_3,0.09881796630212081
AQI_lag_6,0.0981934685589191
Temperature_lag_2,0.09664161287136501
pressure_mean_lag_1,0.0960263452015691
AQI_roll_mean_14,0.09453035010401244
log_CO_lag_3,0.09408404918568508
O3_lag_3,0.09263936741680773
Humidity_lag_2,0.09087866366983735
AQI_roll_max_3,0.09061066975647579
wind_speed_mean_roll_mean_3,0.08885935132648165
AQI_roll_std_14,0.08851964846074405
PM10_roll_mean_3,0.0883913635351184
AQI_lag_7,0.08767813698899046
log_PM2.5_lag_2,0.08635818023577993
PM10_NO2_ratio,0.08194810060659403
Humidity_lag_1,0.08136183666170572
AQI_roll_mean_3,0.08018429412756158
PM10_lag_3,0.07989262738863542
AQI_lag_3,0.07864615796214683
Humidity_roll_mean_3,0.07820442095608672
Precipitation_lag_1,0.07548084387977526
wind_speed_mean_lag_2,0.07529918740726406
AQI_lag_1,0.07448089966573242
day_of_year,0.07392023322172017
log_CO_lag_2,0.07296614770105779
AQI_roll_max_7,0.07126538516176957
temperature_min,0.07124950598592095
NO2_lag_1,0.06591476060186467
temperature_max,0.06410124891242595
log_PM2.5_lag_1,0.0632248894411981
wind_speed_max,0.06278201036407127
pressure_mean,0.06262228953149439
weekday_sin,0.06114069616110148
NO2_O3_ratio,0.06035926814279312
AQI_roll_std_3,0.054249506021419314
AQI_pct_change_3,0.0513306870896692
pollution_max,0.05108045897454486
day_of_week,0.050042934453922605
PM10_O3_ratio,0.04864695791757993
AQI_lag_4,0.04656444405481509
wind_speed_mean,0.04404629821633636
Precipitation,0.040700118491256904
log_CO_lag_1,0.03786002860597853
wind_speed_max_lag_2,0.030338160656831762
season_Summer,0.02709071087528627
wind_speed_max_lag_1,0.024694567949309285
Precipitation_roll_mean_3,0.021451639543149083
Precipitation_lag_2,0.021071569996765786
PM10_lag_1,0.019305700442748836
wind_speed_max_roll_mean_3,0.01463299449225755
wind_speed_mean_lag_1,0.014106961797469175
AQI_roll_std_7,0.012452996489269034
AQI_lag_2,0.012016399774119245
season_Winter,0.011780183244165339
