horizon,model,RMSE,MAE,R2
AQI_t+1,Persistence Baseline,16.79987173271541,10.936026936026936,0.573618464029368
AQI_t+1,SVR + StandardScaler + Recency,13.334621470346029,9.126340455859895,0.7313741258702515
AQI_t+2,Persistence Baseline,21.678240886800015,15.34006734006734,0.27916981101366023
AQI_t+2,SVR + RobustScaler,17.911946626722806,13.22140217373649,0.5078806244123953
AQI_t+3,Persistence Baseline,23.916943826923244,17.54882154882155,0.11657233076483775
AQI_t+3,CatBoost Regressor,19.3783486810544,15.006324031223558,0.42004651508040824
