target,train_mae,train_rmse,train_r2,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
target_day_1,0.6679570345068166,0.8744719795170212,0.9980935419310388,17.27693925080476,23.227130513900175,0.09537659462012849,24.76829168146307,30.533434377504772,-0.45983791135738983
target_day_2,0.7704781242038893,1.0269307786704918,0.9973648198793623,25.35305835582592,30.85219179801644,-0.5997231026289482,31.936741776899858,38.51561698668772,-1.349619644577253
target_day_3,0.8201336766420145,1.0708653117599969,0.9970766621504263,25.892420592131437,31.159047166820713,-0.6341895062017633,32.439581160111864,39.17963235680097,-1.4901952171980124
